Subtest,Objective ID,Objective,TABE 10 Complete Battery,,,,,
,,,L,E,M,D,A,T
Pre-Reading (PR),,Matching Letters,6,-,-,-,-,
,,Recognizing Letters,4,-,-,-,-,
,,Recognizing Beginning and EndingSounds,4,-,-,-,-,
,,Middle Sounds,4,-,-,-,-,
RD,3116,Words in Context,10,2,3,2,2,2
RD,3117,Interpret Graphic Information,2,5,2,2,2,2
RD,3118,Recall Information,7,7,7,7,6,6
RD,3119,Construct Meaning,6,7,8,7,8,7
RD,3120,Evaluate/Extend Meaning,0,4,5,7,7,8
MC,3122,Add Whole Numbers,10,4,3,0,0,0
MC,3123,Subtract Whole Numbers,10,4,3,0,0,0
MC,3124,Multiply Whole Numbers,0,4,3,2,0,0
MC,3125,Divide Whole Numbers,0,4,3,2,0,0
MC,3126,Decimals,0,4,4,4,4,0
MC,3127,Fractions,0,0,4,4,4,4
MC,3128,Integers,0,0,0,5,4,4
MC,3129,Percents,0,0,0,3,3,4
MC,3130,Order of Operations,0,0,0,0,3,4
MC,3131,Algebraic Operations,0,0,0,0,2,4
AM,2498,Number & Number Operations,8,5,5,4,3,2
AM,2499,Computation in Context,5,3,2,2,2,2
AM,2500,Estimation,0,3,2,2,2,2
AM,2501,Measurement,4,2,3,4,3,2
AM,2502,Geometry & Spatial Sense,2,3,3,3,3,3
AM,2503,Data Analysis,3,3,3,3,4,4
AM,2504,Statistics & Probability,0,2,2,2,2,3
AM,2505,Patterns Functions Algebra,3,2,3,3,4,4
AM,2506,Problem Solving & Reasoning,0,2,2,2,2,3
LA,2478,Usage,6,6,8,8,7,7
LA,2479,Sentence Formation,4,4,4,3,6,6
LA,2480,Paragraph Development,4,4,5,6,4,4
LA,2481,Capitalization,5,5,3,2,0,0
LA,2482,Punctuation,5,5,2,3,4,4
LA,2483,Writing Conventions,1,1,3,3,4,4
VO,2475,Word Meaning,9,9,8,8,8,8
VO,2476,Multi-meaning Words,4,4,5,4,4,4
VO,2477,Words in Context,7,7,7,8,8,8
LM,2473,Sentences Phrases Clauses,8,8,11,11,14,14
LM,2474,Writing Conventions,12,12,9,9,6,6
SP,2461,Vowel,7,7,7,7,7,7
SP,2462,Consonant,6,6,6,6,6,6
SP,2463,Structural Unit,7,7,7,7,7,7
