Subtest,Objective,TABE 9 Survey,,,,TABE 10 Survey,,,
,,E,M,D,A,E,M,D,A
Reading (RD),Interpret Graphic Information,4,4,4,4,4,4,4,4
,Words in Context,4,4,4,4,4,4,4,4
,Recall Information,8,5,5,4,7,6,5,4
,Construct Meaning,5,7,8,8,5,6,4,7
,Evaluate/Extend Meaning,4,5,4,5,5,5,8,6
MATH COMPUTATION,Add Whole Numbers,6,4,0,0,6,4,0,0
(MC),Subtract Whole Numbers,5,4,0,0,5,4,0,0
,Multiply Whole Numbers,5,5,4,0,5,5,4,0
,Divide Whole Numbers,5,4,4,0,5,4,4,0
,Decimals,4,4,4,4,4,4,4,4
,Fractions,0,4,4,4,0,4,4,4
,Integers,0,0,5,5,0,0,5,5
,Percents,0,0,4,4,0,0,4,4
,Order of Operations,0,0,0,4,0,0,0,4
,Algebraic Operations,0,0,0,4,0,0,0,4
APPLIED MATHEMATICS,Number & Number Operations,5,4,4,3,5,5,4,3
(AM),Computation in Context,3,1,1,2,3,2,2,2
,Estimation,2,2,3,3,2,2,3,2
,Measurement,3,3,3,4,3,4,3,3
,Geometry & Spatial Sense,2,3,3,3,2,2,3,3
,Data Analysis,4,4,4,3,4,3,3,4
,Statistics & Probability,2,3,2,1,2,2,2,2
,"Patterns, Functions, Algebra",2,2,3,4,2,3,3,4
,Problem Solving & Reasoning,2,3,2,2,2,2,2,2
Language,Usage,5,4,4,5,5,5,5,5
(LA),Sentence Formation,4,4,4,4,4,4,4,4
,Paragraph Development,4,4,4,4,4,4,4,4
,Capitalization,4,4,4,4,4,4,3,4
,Punctuation,4,4,5,4,4,4,4,4
,Writing Conventions,4,5,4,4,4,4,5,4
Vocabulary,Word Meaning,9,8,8,8,9,8,8,8
(VO),Multi-meaning Words,4,4,4,4,4,5,4,4
,Words in Context,7,8,8,8,7,7,8,8
Language Mechanics (LM),"Sentences, Phrases, Clauses",7,10,10,14,8,11,11,14
,Writing Conventions,13,10,10,6,12,9,9,6
Spelling (SP),Vowel,7,7,7,7,7,7,7,7
,Consonant,6,6,6,6,6,6,6,6
,Structural Unit,7,7,7,7,7,7,7,7
,,,,,,,,,
